Item,Export Quantity,Feed,Import Quantity,Loss,Other uses (non-food),Processed,Production,Residuals,Stock Variation
Areca nuts,33029.46,0.0,24833.88,498.08000000000004,0.0,0.0,3737.95,-9607.0,1007.52
Avocados,615.28,0.0,19160.19,0.0,0.0,0.0,0.0,0.0,0.0
Bananas,253421.22999999998,0.0,175040.37,630873.01,0.0,0.0,3464612.83,0.0,0.0
Cabbages,169715.52,0.0,1372403.27,105737.43,0.0,0.0,1544992.72,0.0,0.0
"Cashew nuts, in shell",49.03,0.0,923.37,5321.66,0.0,0.0,173951.44,0.0,-5263.0
"Cassava, fresh",0.0,30328.68,0.0,41340.229999999996,0.0,55622.83,542669.58,0.0,0.0
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",65862.90000000001,0.0,545469.95,361.85,0.0,0.0,24902.29,0.0,13.97
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",76437.97,0.0,582729.37,36257.939999999995,0.0,0.0,397131.47,0.0,0.0
"Cloves (whole stems), raw",2323.05,0.0,19592.899999999998,132.81,0.0,0.0,2397.6,0.0,6208.820000000001
Cocoa beans,903029.63,0.0,3424823.73,154.19,0.0,2645036.9099999997,36379.0,-32719.0,-54298.0
"Coconuts, in shell",338752.4,71341.25,1600215.98,471826.69999999995,690929.26,4010728.85,6077769.03,0.0,0.0
"Coffee, green",12796.64,0.0,937556.3,5939.54,0.0,1010939.3400000001,96560.58,0.0,0.0
Cucumbers and gherkins,233620.85,0.0,130937.45,84926.66,0.0,0.0,1015180.8999999999,0.0,0.0
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",10705.58,8050.4800000000005,142236.13,3097.4399999999996,0.0,166245.02000000002,39292.100000000006,0.0,-6570.28
"Ginger, raw",7371.8,0.0,476029.17,2750.99,0.0,0.0,121182.98,0.0,-6608.0
"Groundnuts, excluding shelled",9547.960000000001,0.0,102467.58,417.17999999999995,0.0,96390.23000000001,5311.23,0.0,1317.72
Lemons and limes,35817.14,0.0,183893.72,7106.700000000001,0.0,0.0,97677.11000000002,0.0,0.0
Lettuce and chicory,136218.65,0.0,100305.6,48918.76,0.0,0.0,568426.45,0.0,0.0
Maize (corn),161414.22,35840350.25,38559129.279999994,1964667.5799999998,0.0,405483.37,734232.24,0.0,27291.0
"Mangoes, guavas and mangosteens",92720.51000000001,0.0,583791.99,71425.05,0.0,0.0,860706.25,0.0,0.0
"Nutmeg, mace, cardamoms, raw",2214.06,0.0,6286.490000000001,8.62,0.0,0.0,897.4100000000001,0.0,-269.0
Oil palm fruit,0.0,0.0,0.0,4027543.3499999996,0.0,1024902450.9,1042088741.0,0.0,13158746.76
Okra,0.0,0.0,0.0,46546.88,0.0,0.0,484452.4,0.0,0.0
Oranges,28661.73,0.0,1055856.26,14933.2,0.0,182978.32,169016.69,0.0,0.0
"Other citrus fruit, n.e.c.",2295.56,0.0,1655.0,3510.3599999999997,0.0,6556.16,42211.28,-92.0,0.0
"Other fruits, n.e.c.",206877.89,0.0,396912.81,98922.69,0.0,386478.13,1167803.54,0.0,0.0
"Other oil seeds, n.e.c.",31515.379999999997,0.0,113916.87,49663.340000000004,0.0,2158048.87,2107280.86,0.0,-18028.86
"Other stimulant, spice and aromatic crops, n.e.c.",92267.02,0.0,162158.37,204.26,0.0,0.0,7822.89,0.0,11707.130000000001
"Other tropical fruits, n.e.c.",214289.36000000002,0.0,109282.18000000001,103255.97,0.0,157623.18,925299.5299999999,3924.0,0.0
"Other vegetables, fresh n.e.c.",411222.63,0.0,415562.72000000003,494160.13,0.0,200000.0,5916333.9,46592.0,0.0
Papayas,251463.48,0.0,1414.91,29892.91,0.0,0.0,589480.91,0.0,0.0
"Pepper (Piper spp.), raw",133487.51,0.0,40859.81,16726.09,0.0,0.0,314841.0,0.0,-3066.9300000000003
Pineapples,221229.86,0.0,24247.65,306180.75999999995,0.0,1320103.6099999999,3646201.87,0.0,0.0
Pomelos and grapefruits,28040.5,0.0,16330.449999999999,10986.86,0.0,89580.03,135087.36,0.0,0.0
"Pumpkins, squash and gourds",61009.740000000005,0.0,25805.980000000003,23775.12,0.0,0.0,280072.44,0.0,0.0
Rice,12.0,0.0,711.22,1121972.76,0.0,26254565.48,27443916.0,0.0,-148245.0
Soya beans,276858.04,474944.45999999996,7523992.45,0.0,0.0,6705188.95,0.0,0.0,67000.0
Spinach,99946.78,0.0,6304.76,52319.729999999996,0.0,0.0,644576.33,0.0,0.0
Sugar cane,88170.17,37576.47,2058.25,43721.310000000005,0.0,1426699.2300000002,804897.93,-789213.0,0.0
Sweet potatoes,15669.16,260393.11000000002,121041.56999999999,41894.57,0.0,0.0,504767.63,0.0,10370.369999999999
Tea leaves,33193.31,0.0,254510.07,7629.48,0.0,0.0,135145.31,1235.0,-860.0
Tomatoes,464141.26999999996,0.0,36637.42,127834.83,0.0,0.0,1780342.53,0.0,0.0
Watermelons,595940.24,0.0,7805.0599999999995,174915.94999999998,0.0,0.0,2040604.2600000002,0.0,0.0
